,text,text_2,score,length
30014,trabajadorespensionistas,liberalizadores,9.805782714207854,39
30260,reestructuraciones,sobrecomercialización,9.805420795621377,39
30585,Intergubernamentales,hiperreglamentación,9.804962445066213,39
31666,instrumentalizaciones,Interuniversitaire,9.803463222789526,39
31886,VodafoneMannesmann,instrumentalizaciones,9.803199204129978,39
32166,sobrecomercialización,corresponsabilidad,9.802850450650753,39
32778,políticoadministrativos,israelípalestina,9.802093389978813,39
33123,toxicodependencia,financieroindustriales,9.801596082000486,39
70,Intergubernamental,Intergubernamentales,9.96531651707069,38
143,Interparlamentario,Intergubernamentales,9.955029067901064,38
168,Intergubernamentales,Interparlamentaria,9.95217722421605,38
368,Intergubernamentales,Wohlfahrtsverbände,9.937096312497403,38
409,Intergubernamentales,disfuncionamientos,9.934969889687647,38
437,LanguedocRoussillon,MatikainenKallström,9.933627549652098,38
512,VodafoneMannesmann,Intergubernamentales,9.929924853946249,38
554,Intergubernamentales,Interuniversitaire,9.928505950192594,38
649,Intergubernamentales,HamburgoCopenhague,9.92540649734288,38
652,desresponsabiliza,sobrecomercialización,9.925343517711378,38
782,coresponsabilidad,sobrecomercialización,9.920850194430107,38
893,israelípalestina,jurídicoadministrativa,9.917274330645737,38
2062,HamburgoCopenhague,carreteraferrocarril,9.896571586372122,38
2237,toxicodependencia,sobrecomercialización,9.894311245988602,38
2380,VodafoneMannesmann,carreteraferrocarril,9.892891097434408,38
3312,CristianoDemócrata,Intergubernamentales,9.884106109953875,38
3426,jurídicoadministrativa,técnicoeconómica,9.883166806449879,38
4330,SurEuropaAtlántico,Intergubernamentales,9.876622254285568,38
4760,Wohlfahrtsverbände,carreteraferrocarril,9.873774607240431,38
5070,BruselasAmsterdam,sobrecomercialización,9.871676289883938,38
6265,Interinstitucional,Intergubernamentales,9.864875730830654,38
6632,sobrecomercialización,PSEVertsALEGUENGL,9.863064557185302,38
6735,Interuniversitaire,carreteraferrocarril,9.862495061614954,38
7755,sobrecomercialización,Höhereinstufungen,9.85785953849555,38
8822,Intergubernamental,carreteraferrocarril,9.853355991142648,38
9101,DemócratasCristianos,demócratacristiana,9.852302410471834,38
9673,sobrecomercialización,Descentralización,9.850215531628113,38
9674,sobrecomercialización,descentralización,9.850215531628113,38
10241,carreteraferrocarril,imprescindibilidad,9.848329671353511,38
10399,autorresponsabilidad,imprescindibilidad,9.84776356628115,38
10857,carreteraferrocarril,CristianoDemócrata,9.84628786947893,38
10892,sobrecomercialización,Stimmbürgerschaft,9.84616199659843,38
11065,sobrecompensación,sobrecomercialización,9.845526807889176,38
11463,desnaturalización,sobrecomercialización,9.844175987262304,38
11924,imprescindibilidad,multidisciplinaridad,9.842702078584075,38
12161,carreteraferrocarril,SurEuropaAtlántico,9.842024476550783,38
12213,sobrecomercialización,industrialización,9.841850174271052,38
12269,sobrecomercialización,Complementariedad,9.841675717057855,38
12363,sobrecomercialización,autodeterminación,9.841367172962963,38
12563,sobrecomercialización,desmilitarización,9.840751099713351,38
13124,sobrecomercialización,desestabilización,9.83918716818721,38
14051,sobrecomercialización,anticontaminación,9.83656967926274,38
14646,Interparlamentaria,carreteraferrocarril,9.834912089593546,38
15800,subrepresentación,sobrecomercialización,9.831966244807896,38
15984,Interparlamentario,carreteraferrocarril,9.831519692682347,38
16473,Interinstitucional,desindustrialización,9.830367621231881,38
16634,Intergubernamentales,imprescindibilidad,9.82996557558389,38
16641,renacionalización,sobrecomercialización,9.829943684732589,38
16659,carreteraferrocarril,disfuncionamientos,9.829911950966101,38
16881,institucionalización,Interinstitucional,9.829409508898625,38
17737,irresponsablemente,Intergubernamentales,9.827359030228637,38
18079,sobrecomercialización,contrarrevolución,9.826657040477809,38
19871,deslocalizaciones,sobrecomercialización,9.822758629378749,38
21099,sobrecomercialización,conservacionistas,9.820492026221931,38
21120,sobrecomercialización,hospitalizaciones,9.820447796625578,38
22992,sobrecomercialización,intervencionistas,9.817025628809304,38
23694,sobrecomercialización,indeterminaciones,9.815784642017961,38
25001,sobrecomercialización,transnacionalismo,9.813531308694175,38
25172,imprescindibilidad,extraterritorialidad,9.813222122014107,38
25322,carreteraferrocarril,Interinstitucional,9.812959292745134,38
25442,sobrecomercialización,ultranacionalismo,9.812759081076969,38
25552,perfeccionamientos,Intergubernamentales,9.812569558964606,38
25728,racionalizaciones,sobrecomercialización,9.812280314790454,38
26148,desresponsabiliza,instrumentalizaciones,9.81163474062858,38
26340,sobrecomercialización,circunscripciones,9.811283525280306,38
27075,Intergubernamentales,autoabastecimiento,9.810220951484187,38
27178,jurídicoadministrativa,técnicojurídicos,9.810056230660493,38
27249,sobrecomercialización,israelopalestinas,9.809948686241253,38
27819,fusionesadquisiciones,desresponsabiliza,9.809063691131124,38
28226,trabajadorespensionistas,juridictionnel,9.808485706985419,38
28590,disfuncionamientos,infraaprovechamiento,9.807899461725112,38
28822,desestructuración,sobrecomercialización,9.80752239882802,38
29802,VodafoneMannesmann,infrarrepresentación,9.80609630837834,38
31651,superdiplomáticos,sobrecomercialización,9.803496204545171,38
31729,jurídicoadministrativa,BoumédieneThiery,9.803397498510185,38
32226,desgasificaciones,sobrecomercialización,9.802779809939086,38
34153,financieroindustriales,upadministration,9.800213520426512,38
77,sobrecomercialización,comunitarización,9.963305570716107,37
125,sobrecomercialización,desfiscalización,9.957266589121451,37
224,Intergubernamentales,BruselasAmsterdam,9.945895926488356,37
306,Intergubernamentales,PSEVertsALEGUENGL,9.940397358908243,37
364,VodafoneMannesmann,MatikainenKallström,9.937168282841867,37
387,Intergubernamentales,Complementariedad,9.936131889764729,37
624,HamburgoCopenhague,LanguedocRoussillon,9.925915420479145,37
662,sobrecomercialización,preabolicionista,9.92491279850472,37
890,HamburgoCopenhague,MatikainenKallström,9.917336781526226,37
1001,sobrecomercialización,Constitucionales,9.914474482139928,37
1310,Intergubernamentales,BoumedienneThiery,9.907943786782953,37
1377,Stimmbürgerschaft,carreteraferrocarril,9.906686288194038,37
1405,LanguedocRoussillon,Interuniversitaire,9.906236206017695,37
1501,VodafoneMannesmann,LanguedocRoussillon,9.904565826858118,37
1690,MatikainenKallström,Interuniversitaire,9.901787077774701,37
1883,Intergubernamentales,Höhereinstufungen,9.899016849021343,37
1932,Intergubernamentales,toxicodependencia,9.898250003939436,37
2003,LanguedocRoussillon,Wohlfahrtsverbände,9.897446496092446,37
2096,LanguedocRoussillon,CristianoDemócrata,9.896059670269539,37
2396,MatikainenKallström,SurEuropaAtlántico,9.892687989660812,37
3095,MatikainenKallström,CristianoDemócrata,9.885970147117458,37
3440,SurEuropaAtlántico,LanguedocRoussillon,9.883028864401988,37
3521,carreteraferrocarril,PSEVertsALEGUENGL,9.882348049175327,37
3586,MatikainenKallström,Wohlfahrtsverbände,9.881872280109981,37
3624,upadministration,sobrecomercialización,9.881548878137668,37
3667,MatikainenKallström,Interparlamentario,9.88116332483208,37
3899,MatikainenKallström,Intergubernamental,9.879484206941692,37
4198,sobrecomercialización,CreutzfeldtJacob,9.877522816417082,37
4316,Interinstitucional,MatikainenKallström,9.87673082482132,37
4408,Interinstitucional,LanguedocRoussillon,9.876037759275127,37
4542,MatikainenKallström,Interparlamentaria,9.875193314960207,37
4682,Stimmbürgerschaft,Intergubernamentales,9.87431669899157,37
5201,carreteraferrocarril,BruselasAmsterdam,9.870778550089799,37
5750,disfuncionamientos,MatikainenKallström,9.867588911710108,37
6138,QuisthoudtRowohl,sobrecomercialización,9.86548837588343,37
6392,LanguedocRoussillon,disfuncionamientos,9.864167930820592,37
8255,carreteraferrocarril,Complementariedad,9.855744355329938,37
8301,reacondicionamiento,disfuncionamientos,9.855578450495136,37
8398,sobrecomercialización,EuropeaIzquierda,9.855156442390696,37
8433,carreteraferrocarril,BoumedienneThiery,9.854990379830449,37
8680,demócratacristiana,DemócrataCristianos,9.853850949513156,37
8895,coresponsabilidad,autorresponsabilidad,9.853080337959156,37
10014,sobrecomercialización,Steuereintreiber,9.84906548593193,37
10064,desresponsabiliza,Intergubernamentales,9.8488743011864,37
10508,constitucionalización,comunitarización,9.847395709384237,37
10541,LanguedocRoussillon,imprescindibilidad,9.847289608728294,37
10716,imprescindibilidad,MatikainenKallström,9.846796797929851,37
11265,desfiscalización,constitucionalización,9.844877302608309,37
11532,Interparlamentario,LanguedocRoussillon,9.843956728824715,37
12116,CristianoDemócrata,cristianodemócratas,9.842150045641342,37
12969,carreteraferrocarril,coresponsabilidad,9.839610814488484,37
13296,BadenWürttemberg,sobrecomercialización,9.838636073164398,37
13751,sobrecomercialización,comercialización,9.837368047765725,37
13816,sobrecomercialización,mercantilización,9.83717942291479,37
14951,Interparlamentaria,LanguedocRoussillon,9.83413642021978,37
15848,Intergubernamentales,coresponsabilidad,9.831847689600519,37
15914,coresponsabilidad,multidisciplinaridad,9.831703949715255,37
16961,instrumentalización,Interinstitucional,9.829196794291555,37
17222,desconcentración,sobrecomercialización,9.82854078605243,37
17383,contraprestación,sobrecomercialización,9.828164993509795,37
17402,carreteraferrocarril,superdiplomáticos,9.82812369789107,37
17514,sobrecomercialización,sobreexplotación,9.827890391364456,37
17718,sobrecomercialización,infrautilización,9.827405290875863,37
17723,superdiplomáticos,Intergubernamentales,9.827392528090474,37
17834,sobrecomercialización,superexplotación,9.827187486342954,37
18249,presupuestariamente,Interparlamentario,9.826266248170464,37
18801,IntergubernamentalE,Intergubernamental,9.825137738686873,37
18852,presupuestariamente,disfuncionamientos,9.82502961988698,37
19009,presupuestariamente,Interparlamentaria,9.824659311163238,37
19037,fusionesadquisiciones,comunitarización,9.824608337312714,37
19636,Interinstitucional,multilateralización,9.823247736452313,37
20044,preabolicionista,fusionesadquisiciones,9.822430973061909,37
20970,instrumentalizaciones,comunitarización,9.820712652152425,37
21174,preabolicionista,instrumentalizaciones,9.82033444374214,37
21586,Constitucionales,instrumentalizaciones,9.81959233955087,37
21748,sobrecomercialización,autosatisfacción,9.819275582821822,37
21891,toxicodependencia,carreteraferrocarril,9.819057081344843,37
22346,fusionesadquisiciones,desfiscalización,9.818185223596096,37
22471,Constitucionales,fusionesadquisiciones,9.817959942237358,37
22675,Intergubernamental,LanguedocRoussillon,9.817552784634966,37
22747,sobrecomercialización,proporcionalidad,9.817405659154309,37
22871,disfuncionamientos,imprescindiblemente,9.817220171849646,37
23299,disfuncionamientos,IntergubernamentalE,9.816502213210125,37
23515,sobrecomercialización,palestinoisraelí,9.816112372709492,37
23630,discrecionalidad,sobrecomercialización,9.815898171753929,37
23978,Socialdemócratas,sobrecomercialización,9.815273561926704,37
24317,Intergubernamentales,ChampagneArdennes,9.814687129600886,37
25044,Interparlamentario,IntergubernamentalE,9.813457622338545,37
25670,desresponsabiliza,carreteraferrocarril,9.81237855712603,37
26301,IntergubernamentalE,Interparlamentaria,9.811361077771213,37
26494,SurEuropaAtlántico,cristianodemócratas,9.81106785760183,37
26505,extraterritorialidad,coresponsabilidad,9.81105105225596,37
26729,esterilizaciones,sobrecomercialización,9.810737952012044,37
26753,VodafoneMannesmann,hiperreglamentación,9.810699467795745,37
26998,sobrecomercialización,liberalizaciones,9.810319385920213,37
27430,autorresponsabilidad,desresponsabiliza,9.809679518964213,37
27495,sobrecomercialización,reorganizaciones,9.809574663131006,37
27755,puntualizaciones,sobrecomercialización,9.809150825883272,37
28035,Intergubernamentales,holandesaflamenca,9.808758548901093,37
28086,sobrecomercialización,reivindicaciones,9.808698258485828,37
28368,preabolicionista,constitucionalización,9.808259399933712,37
28708,Intergubernamentales,estrangulamientos,9.807718046166068,37
28806,desfiscalización,instrumentalizaciones,9.807552139342825,37
30454,discriminaciones,sobrecomercialización,9.805128003263924,37
30775,Höhereinstufungen,carreteraferrocarril,9.804735749158777,37
31017,demócratacristiana,democráticopolítico,9.804413254556973,37
31048,uniformizaciones,sobrecomercialización,9.804380183042488,37
31767,empleoprotección,sobrecomercialización,9.803350995402166,37
31810,desestabilizaciones,Interinstitucional,9.803304477650942,37
31825,Administraciones,sobrecomercialización,9.803276254541856,37
31826,administraciones,sobrecomercialización,9.803276254541856,37
31861,Intergubernamentales,condicionamientos,9.803230670630036,37
31873,disfuncionamientos,hiperreglamentación,9.80321272214306,37
32347,presupuestariamente,Intergubernamental,9.802629839172502,37
32752,infrarepresentación,VodafoneMannesmann,9.802108399030658,37
33324,infrarrepresentación,toxicodependencia,9.801333316173224,37
3,Interparlamentaria,Interparlamentario,9.985010235950897,36
231,SurEuropaAtlántico,CristianoDemócrata,9.945409480946202,36
273,Wohlfahrtsverbände,Interuniversitaire,9.942824978827876,36
390,Intergubernamentales,BadenWürttemberg,9.935739665257543,36
451,Interparlamentario,Intergubernamental,9.93278753538881,36
468,Wohlfahrtsverbände,HamburgoCopenhague,9.932062068805077,36
478,Intergubernamental,Interparlamentaria,9.931538786418741,36
525,HamburgoCopenhague,VodafoneMannesmann,9.929316277608203,36
693,CreutzfeldtJacob,carreteraferrocarril,9.923606485906477,36
763,VodafoneMannesmann,Interuniversitaire,9.92137837916559,36
846,HamburgoCopenhague,SurEuropaAtlántico,9.918900440332276,36
892,disfuncionamientos,Interparlamentario,9.917284729680286,36
937,VodafoneMannesmann,Intergubernamental,9.91590905926653,36
963,Interparlamentario,VodafoneMannesmann,9.915337683149632,36
980,disfuncionamientos,Intergubernamental,9.91489438510952,36
1010,MatikainenKallström,Stimmbürgerschaft,9.914273911704173,36
1029,Interinstitucional,Interuniversitaire,9.913807542912615,36
1042,Steuereintreiber,Intergubernamentales,9.913215741197968,36
1069,HamburgoCopenhague,Interuniversitaire,9.912649891295494,36
1086,LanguedocRoussillon,BoumedienneThiery,9.912351923276143,36
1106,VodafoneMannesmann,Wohlfahrtsverbände,9.912010867554805,36
1111,Interinstitucional,VodafoneMannesmann,9.911889744699003,36
1139,CristianoDemócrata,Interuniversitaire,9.911334537689884,36
1187,Interparlamentaria,VodafoneMannesmann,9.910422114105407,36
1207,EuropeaIzquierda,Intergubernamentales,9.91007398977269,36
1216,CristianoDemócrata,HamburgoCopenhague,9.909831603116082,36
1227,disfuncionamientos,Interparlamentaria,9.909497642891633,36
1265,MatikainenKallström,BruselasAmsterdam,9.908822120685537,36
1457,Interuniversitaire,Interparlamentario,9.905348132896549,36
1471,Interuniversitaire,SurEuropaAtlántico,9.905127543944888,36
1555,QuisthoudtRowohl,carreteraferrocarril,9.903743612181962,36
1666,Interparlamentario,HamburgoCopenhague,9.9021812625268,36
1744,MatikainenKallström,BoumedienneThiery,9.900922605689226,36
1904,Institucionales,sobrecomercialización,9.898660970738169,36
1937,Interparlamentaria,Interuniversitaire,9.898208012042563,36
1995,Interparlamentario,Wohlfahrtsverbände,9.897499670196245,36
2027,Intergubernamental,Wohlfahrtsverbände,9.897017816232355,36
2038,HamburgoCopenhague,Interparlamentaria,9.896912045869573,36
2104,Intergubernamentales,Euromediterráneo,9.896013376635324,36
2134,Wohlfahrtsverbände,Interparlamentaria,9.89557021382298,36
2192,CristianoDemócrata,Interparlamentario,9.894920440681929,36
2224,disfuncionamientos,VodafoneMannesmann,9.894460034923265,36
2259,Intergubernamentales,BoumedieneThiery,9.894121601943839,36
2299,HamburgoCopenhague,disfuncionamientos,9.89372772384381,36
2361,Interparlamentaria,CristianoDemócrata,9.8931213928063,36
2443,Interparlamentario,SurEuropaAtlántico,9.89219357650334,36
2531,CristianoDemócrata,Wohlfahrtsverbände,9.891273827051583,36
2551,Interuniversitaire,imprescindibilidad,9.891138182181352,36
2751,Interuniversitaire,Intergubernamental,9.889132103818511,36
2786,BruselasAmsterdam,LanguedocRoussillon,9.888765811012254,36
2827,Intergubernamental,HamburgoCopenhague,9.88831416812083,36
2913,sobrecomercialización,Handlungsbedarf,9.887457487822847,36
2922,CreutzfeldtJacob,Intergubernamentales,9.88736818872281,36
2955,sobrecomercialización,liberalizadores,9.886974491103768,36
3026,disfuncionamientos,Interuniversitaire,9.88641527842908,36
3074,Complementariedad,MatikainenKallström,9.886100574993353,36
3236,SurEuropaAtlántico,Interparlamentaria,9.884713361936186,36
3679,BadenWürttemberg,carreteraferrocarril,9.881088992162596,36
3967,SurEuropaAtlántico,Wohlfahrtsverbände,9.87896275307595,36
4221,VodafoneMannesmann,CristianoDemócrata,9.877364569316782,36
4339,Socialdemócratas,Intergubernamentales,9.876523461396413,36
4342,VodafoneMannesmann,SurEuropaAtlántico,9.876514199360377,36
4416,PSEVertsALEGUENGL,MatikainenKallström,9.87596811570947,36
4587,Intergubernamentales,Constitucionales,9.874905833083144,36
4653,LanguedocRoussillon,Höhereinstufungen,9.874556233435253,36
4792,imprescindibilidad,Interinstitucional,9.873516317950351,36
5328,Wohlfahrtsverbände,disfuncionamientos,9.86996398799087,36
5641,Stimmbürgerschaft,LanguedocRoussillon,9.868161032092285,36
5778,imprescindibilidad,Wohlfahrtsverbände,9.867399158668483,36
5812,toxicodependencia,LanguedocRoussillon,9.8671945240534,36
6102,CristianoDemócrata,disfuncionamientos,9.865694369488235,36
6648,MatikainenKallström,Höhereinstufungen,9.862934080015847,36
6960,QuisthoudtRowohl,Intergubernamentales,9.861325794731366,36
7415,HamburgoCopenhague,Interinstitucional,9.859095248672766,36
7602,Interinstitucional,Wohlfahrtsverbände,9.858399185216832,36
7841,Interinstitucional,Intergubernamental,9.85750462011757,36
8131,carreteraferrocarril,EuropeaIzquierda,9.856235571854409,36
8161,perfeccionamientos,disfuncionamientos,9.856106248046832,36
8486,upadministration,Intergubernamentales,9.854695315426824,36
8512,disfuncionamientos,SurEuropaAtlántico,9.854560225798567,36
8625,LanguedocRoussillon,desresponsabiliza,9.854083285271638,36
8657,Vallelelersundi,sobrecomercialización,9.853957913767147,36
8950,disfuncionamientos,Interinstitucional,9.852872062536713,36
9038,nongovernmental,sobrecomercialización,9.852529193682326,36
9411,sobrecomercialización,Vicepresidencia,9.851165821865589,36
9975,autosostenibilidad,imprescindibilidad,9.849220628261287,36
10031,sobrecomercialización,Schweigepflicht,9.849019709267674,36
10094,corresponsabilidad,imprescindibilidad,9.848786823639369,36
10195,imprescindibilidad,VodafoneMannesmann,9.848475706279103,36
10261,carreteraferrocarril,Steuereintreiber,9.848262123430674,36
10530,comunitarización,institucionalización,9.847329329158278,36
10609,LanguedocRoussillon,PSEVertsALEGUENGL,9.847110234739318,36
10652,MatikainenKallström,superdiplomáticos,9.84698150094253,36
10728,desfiscalización,institucionalización,9.846748450595053,36
11007,subvencionabilidad,imprescindibilidad,9.845735943315125,36
11300,Europafortaleza,sobrecomercialización,9.844783186096237,36
12393,superdiplomáticos,LanguedocRoussillon,9.841266863053024,36
12451,sobrecomercialización,circunscribiera,9.841088716637469,36
12911,comunitarización,desindustrialización,9.83976911329529,36
12972,Complementariedad,LanguedocRoussillon,9.839596894386368,36
13147,autoabastecimiento,disfuncionamientos,9.839117820405939,36
13213,sobrecomercialización,EuropaIzquierda,9.83891243648637,36
13770,coresponsabilidad,LanguedocRoussillon,9.837306035475134,36
13966,Euromediterráneo,carreteraferrocarril,9.836825929500591,36
15021,sobrecomercialización,sobrevaloración,9.83398717490038,36
15240,demócratacristiana,CristianoDemócrata,9.833338084513564,36
15285,sobrecomercialización,desvalorización,9.833221482465103,36
15413,Interparlamentario,Interinstitucional,9.832909064242095,36
15512,caracterización,sobrecomercialización,9.832640456970664,36
15524,MatikainenKallström,toxicodependencia,9.832607530496084,36
15628,desresponsabiliza,desestabilizaciones,9.832388081253528,36
15867,desfiscalización,desindustrialización,9.831803184892829,36
16024,estandarización,sobrecomercialización,9.831409791801587,36
16444,Intergubernamentales,preabolicionista,9.830431607748439,36
16485,MatikainenKallström,coresponsabilidad,9.830338500702789,36
16727,BoumedieneThiery,carreteraferrocarril,9.829772882441988,36
16799,sobrecomercialización,secundarización,9.829599482049339,36
16996,imprescindibilidad,incompatibilidades,9.829108921864254,36
17076,homogeneización,sobrecomercialización,9.828928724978692,36
17418,materialización,sobrecomercialización,9.828098104650877,36
17601,sobrecomercialización,externalización,9.827671357936667,36
17800,infravaloración,sobrecomercialización,9.827243944190522,36
18037,internalización,sobrecomercialización,9.826744652016924,36
18087,socioeconómicio,sobrecomercialización,9.826643106622296,36
18511,Noproliferación,sobrecomercialización,9.825710369886139,36
19008,americanización,sobrecomercialización,9.82466505392111,36
19104,continentalización,Interinstitucional,9.82449886823111,36
19686,democratización,sobrecomercialización,9.823133443981007,36
19936,sobrecomercialización,deslocalización,9.822630762618195,36
19946,sobrecomercialización,desprogramación,9.822611802976812,36
20132,multifuncionalidad,imprescindibilidad,9.822262618130244,36
20284,Interinstitucional,antidiscriminación,9.821989053700491,36
20478,DuffVoggenhuber,sobrecomercialización,9.821640377774846,36
21061,sobrecomercialización,descolonización,9.82055119870923,36
21541,sobrecomercialización,indeterminación,9.819667393136678,36
21555,sobrecomercialización,experimentación,9.819650917910195,36
21678,MatikainenKallström,desresponsabiliza,9.819405731809862,36
21850,Interinstitucional,Interparlamentaria,9.819123855003234,36
21933,Interinstitucional,SurEuropaAtlántico,9.818965857054874,36
21996,rentabilización,sobrecomercialización,9.81886032610287,36
22039,despolitización,sobrecomercialización,9.818758667040171,36
22166,burocratización,sobrecomercialización,9.818558536833168,36
22657,sobrexplotación,sobrecomercialización,9.817588923021283,36
23471,CristianoDemócrata,Intergubernamental,9.816199054930276,36
23606,Interinstitucional,desburocratización,9.815936690340106,36
23612,Interinstitucional,CristianoDemócrata,9.815927170492062,36
24306,SurEuropaAtlántico,Intergubernamental,9.81470037301167,36
24409,sobrecomercialización,criminalización,9.814507519586199,36
24441,BushillMatthews,sobrecomercialización,9.814452897564632,36
24458,sobrecomercialización,desmovilización,9.814428490454416,36
24573,comunitarización,Intergubernamentales,9.81422830749463,36
24593,sobrecomercialización,especialización,9.81419303653602,36
24633,sobrecomercialización,autoexplotación,9.81413182093693,36
25032,HamburgoCopenhague,imprescindibilidad,9.81348008498599,36
25330,sobrecomercialización,obstaculización,9.812946449781908,36
25675,DemócratasCristianos,israelípalestina,9.812371765698506,36
26543,carreteraferrocarril,upadministration,9.811013856055895,36
26774,sobrecomercialización,instrumentación,9.810667235975286,36
26949,cristianodemócratas,superdiplomáticos,9.810403379327346,36
